PeopleName,Country,Population,Language,Religion,Latitude,Longitude,Global Status of  Evangelical Christianity,Evangelical Engagement,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,People Name,GENC,FIPS,FIPS of Origin,,,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index,Population Layer,Indigenous,ISOalpha3
Jula,Mali,117000,Jula,Islam - Folk,11.7785,-5.3464,1,Unengaged,Extreme,Not Free,Low,Moderate,Level 4: Do Not Travel,A013,C0128,104323,Jula,MLI,ML,UV,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"100,000+",Indigenous,MLI
Jula,United States,5600,Jula,Islam - Sunni,40.858047,-73.896398,1,Engaged,Little,Free,Moderate,High,Caution,A013,C0128,104323,Jula,USA,US,UV,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"<10,000",Diaspora,USA
"Jula, Kong",Cote d’Ivoire,3105000,Jula,Islam - Folk,9.23397,-4.40367,1,Engaged,Strenuous,Partly Free,Low,High,Level 2: Exercise Increased Caution,A013,C0128,104323,Jula,CIV,IV,UV,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"1,000,000+",Indigenous,CIV
"Jula, Koyaka",Cote d’Ivoire,105000,Koyaga,Islam - Folk,8.29177,-6.23255,1,Engaged,Strenuous,Partly Free,Low,High,Level 2: Exercise Increased Caution,A013,C0128,114894,"Jula, Koyaga",CIV,IV,,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,CIV
"Jula, Worodougou",Cote d’Ivoire,133000,Worodougou,Islam - Folk,8.23453,-6.72244,1,Engaged,Strenuous,Partly Free,Low,High,Level 2: Exercise Increased Caution,A013,C0128,114492,Worodougou,CIV,IV,,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,CIV
Julaha,India,796000,Hindi,Hinduism,28.838067,78.769427,1,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,112366,Julaha,IND,IN,,,,South Asian Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,IND
Julaha (Haryanvi),India,7500,Haryanvi,Hinduism,30.212417,77.037364,1,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118756,"Julaha, Haryanvi",IND,IN,,,,South Asian Peoples,,1,Engaged yet Unreached,"<10,000",Indigenous,IND
Julaha (Mandeali),India,165000,Mandeali,Hinduism,32.200002,75.897613,1,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118649,"Julaha, Pahari",IND,IN,,,,South Asian Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,IND
Julaha (Punjabi),India,1415000,Eastern Panjabi,Hinduism,31.459282,74.924319,1,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118757,"Julaha, Panjabi",IND,IN,,,,South Asian Peoples,,1,Engaged yet Unreached,"1,000,000+",Indigenous,IND
"Julaha, Jarkhandi",India,159000,Sadri,Hinduism,24.021824,85.638379,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118935,"Julaha, Jharkhandi",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"100,000+",Indigenous,IND
Jumam,Chad,9700,Kim,Ethnoreligion - Animism,9.879,15.811,1,Unengaged,Extreme,Not Free,High,Moderate,Level 3: Reconsider Travel,A013,C0062,104325,Jumam,TCD,CD,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,TCD
Jumjum,Sudan,93000,Jumjum,Islam - Sunni,10.4804,33.9028,1,Engaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0153,104326,Jumjum,SDN,SU,,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"50,000+",Indigenous,SDN
Juneja,India,225,Hindi,Islam - Sunni,23.894633,69.736794,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,112363,Juneja,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Jungle Inga,Colombia,13000,Jungle Inga,Christianity - Folk Catholicism,0.73,-76.5871,1,Engaged,Medium,Free,Moderate,Moderate,Level 3: Reconsider Travel,A007,C0201,104328,"Inga, Jungle Inga",COL,CO,,,,American Peoples,,1,Engaged yet Unreached,"10,000+",Indigenous,COL
Junikuin,Peru,1600,Kashinawa,Ethnoreligion - Animism,-9.9034,-70.9203,5,Engaged,Medium,Partly Free,Moderate,Low,Level 2: Exercise Increased Caution,A007,C0010,101893,Junikuin,PER,PE,BR,,,American Peoples,,2,No Longer Unreached,"<10,000",Indigenous,PER
Jur Modo,South Sudan,149000,Jur Modo,Ethnoreligion - Animism,6.036908,29.892519,1,Engaged,Extreme,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0153,104332,Jur Modo,SSD,OD,,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,SSD
Jur Modo,United States,1700,Jur Modo,Ethnoreligion,32.761603,-96.852104,1,Unengaged,Little,Free,Moderate,High,Caution,A013,C0153,104332,Jur Modo,USA,US,OD,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,USA
Juruna,Brazil,500,Jurúna,Ethnoreligion,-11.2971,-53.3131,4,Unengaged,Medium,Free,Low,Moderate,Level 2: Exercise Increased Caution,A007,C0201,104334,Juruna,BRA,BR,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,BRA
K' Cho Chin,Myanmar,30000,Müün Chin,Christianity - Evangelical Protestant,20.4554,94.2542,6,Unengaged,Strenuous,Not Free,Very High,High,Level 4: Do Not Travel,A012,C0332,106892,Mun Chin,MMR,BM,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,MMR
Kaagan Kalagan,Philippines,13500,Kagan Kalagan,Christianity - Roman Catholicism,6.796,125.362,4,Unengaged,Medium,Partly Free,Low,High,Level 2: Exercise Increased Caution,A008,C0070,104339,Kaagan Kalagan,PHL,RP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,PHL
Kaba,Chad,20500,Kabba,Ethnoreligion,7.84865,16.6947,5,Engaged,Extreme,Not Free,High,Moderate,Level 3: Reconsider Travel,A013,C0189,104342,Kaba,TCD,CD,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"10,000+",Indigenous,TCD
Kaba Demi,Chad,121000,Sara Kaba Démé,Ethnoreligion,9.1211,18.5031,1,Engaged,Extreme,Not Free,High,Moderate,Level 3: Reconsider Travel,A013,C0189,104343,Kaba Demi,TCD,CD,,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,TCD
Kaba Dunjo,Central African Republic,6000,Sara Kaba Naa,Ethnoreligion - Animism,8.99175,19.94459,5,Unengaged,Extreme,Not Free,Moderate,High,Level 4: Do Not Travel,A013,C0189,104344,Kaba Dunjo,CAF,CT,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,CAF
Kaba Kurumi,Chad,12000,Kulfa,Ethnoreligion - Animism,9.9722,18.8375,1,Unengaged,Extreme,Not Free,High,Moderate,Level 3: Reconsider Travel,A013,C0189,104345,Kaba Kurumi,TCD,CD,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,TCD
Kaba Na,Chad,106000,Sara Kaba Naa,Ethnoreligion,9.445912,18.953777,4,Engaged,Extreme,Not Free,High,Moderate,Level 3: Reconsider Travel,A013,C0189,104346,Kaba Na,TCD,CD,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"100,000+",Indigenous,TCD
Kaba-Lai,Chad,54000,Kabalai,Christianity - Neo-Pentecostalism,9.38373,16.2821,5,Engaged,Extreme,Not Free,High,Moderate,Level 3: Reconsider Travel,A013,C0062,104349,Kaba-Lai,TCD,CD,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"50,000+",Indigenous,TCD
Kababish,Sudan,525000,Sudanese Arabic,Islam - Sunni,14.166602,32.635146,1,Engaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A001,C0019,104347,Kababish,SDN,SU,,,,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,SDN
Kabardian,Russian Federation,531000,Kabardian,Islam - Sunni,43.501664,43.615999,1,Engaged,Low,Not Free,Very High,Very High,Level 4: Do Not Travel,A003,C0061,102815,Kabardian,RUS,RS,,,,Central Asian Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,RUS
Kabardian,Saudi Arabia,29000,Kabardian,Islam - Sunni,24.745494,46.771322,1,Unengaged,Low,Not Free,Very High,High,Level 3: Reconsider Travel,A003,C0061,102815,Kabardian,SAU,SA,RS,,,Central Asian Peoples,,0,Unengaged and Unreached,"10,000+",Diaspora,SAU
Kabardian,Uzbekistan,1600,Kabardian,Islam - Sunni,41.3068,69.1853,1,Unengaged,Medium,Not Free,Very High,Low,Level 1: Exercise Normal Precautions,A003,C0061,102815,Kabardian,UZB,UZ,RS,,,Central Asian Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,UZB
Kabende,Zambia,140000,Bemba,Ethnoreligion,-12.0208,29.6053,1,Engaged,Strenuous,Partly Free,Moderate,Moderate,Level 1: Exercise Normal Precautions,A013,C0262,104353,Kabende,ZMB,ZA,,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,ZMB
Kabiano,Papua New Guinea,1800,Niksek,Ethnoreligion - Animism,-4.82581,142.45009,1,Engaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,104354,Kabiano,PNG,PP,,,,Asian Pacific Rim Peoples,,1,Engaged yet Unreached,"<10,000",Indigenous,PNG
Kabixi-Txapakura,Brazil,10,Portuguese,Ethnoreligion,-15.025,-59.891,1,Unengaged,Medium,Free,Low,Moderate,Level 2: Exercise Increased Caution,A007,C0010,104355,Kabixi,BRA,BR,,,,American Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,BRA
Kabiye,Benin,18500,Kabiyè,Islam - Sunni,9.7972,1.5088,1,Unengaged,Strenuous,Partly Free,Low,High,Level 2: Exercise Increased Caution,A013,C0087,104357,Kabiye,BEN,BN,TO,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"10,000+",Indigenous,BEN
Kabiye,Ghana,49500,Kabiyè,Ethnoreligion - Animism,10.9637,-0.0869,4,Unengaged,Strenuous,Free,Low,Moderate,Level 2: Exercise Increased Caution,A013,C0087,104357,Kabiye,GHA,GH,TO,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"10,000+",Diaspora,GHA
Kabiye,Togo,1290000,Kabiyè,Ethnoreligion - Animism,9.7683,1.1094,1,Engaged,Strenuous,Partly Free,Low,Low,Level 1: Exercise Normal Precautions,A013,C0087,104357,Kabiye,TGO,TO,,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"1,000,000+",Indigenous,TGO
Kabliger,India,213000,Kannada,Hinduism,11.84984,76.417937,1,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,116053,Kabbaliga,IND,IN,,,,South Asian Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,IND
Kabola,Indonesia,18000,Kabola,Christianity - Evangelical Protestant,-8.17316,124.53869,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0075,104356,Kabola,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,IDN
Kaburi,Indonesia,1000,Kaburi,Christianity - Evangelical Protestant,-1.92547,132.52827,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,104359,Kaburi,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,IDN
Kabwa,Tanzania,20000,Kabwa,Ethnoreligion,-1.629007,33.920525,4,Engaged,Strenuous,Partly Free,Moderate,Moderate,Level 2: Exercise Increased Caution,A013,C0260,114609,Kabwa,TZA,TZ,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"10,000+",Indigenous,TZA
Kabwari,"Congo, Democratic Republic of the",17500,Kabwari,Christianity - Roman Catholicism,-4.36966,29.16838,1,Engaged,Extreme,Not Free,Moderate,High,Level 3: Reconsider Travel,A013,C0262,104364,Kabwari,COD,CG,,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"10,000+",Indigenous,COD
Kabyle,Algeria,6540000,Kabyle,Islam - Folk,36.5486,4.329879,1,Engaged,Medium,Not Free,Very High,High,Level 2: Exercise Increased Caution,A001,C0046,104365,"Amazigh, Kabyle",DZA,AG,,,,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,"1,000,000+",Indigenous,DZA
Kabyle,Belgium,59000,Kabyle,Islam - Sunni,50.859445,4.416223,1,Unengaged,Little,Free,Moderate,Moderate,Level 2: Exercise Increased Caution,A001,C0046,104365,"Amazigh, Kabyle",BEL,BE,AG,,,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,"50,000+",Diaspora,BEL
Kabyle,Canada,6000,Kabyle,Islam - Sunni,45.52539,-73.568668,1,Engaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A001,C0046,104365,"Amazigh, Kabyle",CAN,CA,AG,,,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,"<10,000",Diaspora,CAN
Kabyle,France,720000,Kabyle,Islam - Sunni,43.342028,5.442739,1,Engaged,Little,Free,Moderate,High,Level 2: Exercise Increased Caution,A001,C0046,104365,"Amazigh, Kabyle",FRA,FR,AG,,,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,"100,000+",Diaspora,FRA
Kachama,Ethiopia,3900,Kachama-Ganjule,Christianity - Evangelical Protestant,6.1482,37.7746,5,Unengaged,Extreme,Not Free,Moderate,Moderate,Level 3: Reconsider Travel,A004,C0161,104367,Kachama,ETH,ET,,,,Northern African and Middle Eastern Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,ETH
Kachari,India,71500,Kachari,Ethnoreligion,27.479884,94.916102,6,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0333,119356,Kachari,IND,IN,,,,South Asian Peoples,,2,No Longer Unreached,"50,000+",Indigenous,IND
Kachchi,Malawi,14000,Kacchi,Islam - Sunni,-13.9704,33.7471,1,Engaged,Extreme,Partly Free,Low,Low,Level 2: Exercise Increased Caution,A012,C0086,112475,Cutch (Kachhi),MWI,MI,TZ,,,South Asian Peoples,,1,Engaged yet Unreached,"10,000+",Diaspora,MWI
Kachchi,India,7335000,Hindi,Hinduism,23.812572,79.527212,2,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0343,112371,"Kachchi, Hindu",IND,IN,,,,South Asian Peoples,,1,Engaged yet Unreached,"1,000,000+",Indigenous,IND
"Kachchi, Kachchwaye",India,852000,Hindi,Hinduism,26.980785,76.454302,3,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0343,118550,"Kachchi, Kachhwaha",IND,IN,,,,South Asian Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,IND
"Kachchi, Kushwaha",India,16500,Marathi,Hinduism,20.262737,75.131935,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0343,118650,Kachchi Kushwaha,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
"Kachchi, Shakya",India,5730000,Awadhi,Hinduism,27.163591,78.908122,1,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0343,118651,Kachchi Shakya,IND,IN,,,,South Asian Peoples,,1,Engaged yet Unreached,"1,000,000+",Indigenous,IND
Kachera (Baghelkhandi),India,2000,Bagheli,Hinduism,24.582473,81.15402,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0343,118758,"Kachera, Bagheli",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
"Kachera, Hindu",India,32500,Odia,Hinduism,20.477708,85.872183,1,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0343,112372,"Kachera, Hindu",IND,IN,,,,South Asian Peoples,,1,Engaged yet Unreached,"10,000+",Indigenous,IND
"Kachera, Muslim",India,2400,Urdu,Islam - Sunni,21.1458,79.088155,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0343,113004,"Kachera, Muslim",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Kachhia,India,84500,Gujarati,Hinduism,22.289953,73.204745,3,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0343,112474,"Kachhia, Hindu",IND,IN,,,,South Asian Peoples,,1,Engaged yet Unreached,"50,000+",Indigenous,IND
Kachin,Myanmar,1050000,Jingpho,Christianity - Evangelical Protestant,26.19603,96.91646,6,Unengaged,Strenuous,Not Free,Very High,High,Level 4: Do Not Travel,A014,C0142,104372,"Kachin, Jingpho",MMR,BM,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"1,000,000+",Indigenous,MMR
"Kachin, Jingpho",United States,175,Jingpho,Christianity - Evangelical Protestant,32.577995,-97.356648,6,Unengaged,Little,Free,Moderate,High,Caution,A014,C0142,104372,"Kachin, Jingpho",USA,US,BM,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Diaspora,USA
"Kachin, Rawang",United States,750,Rawang,Christianity - Evangelical Protestant,32.66461,-97.3202,6,Unengaged,Little,Free,Moderate,High,Caution,A014,C0142,108326,Rawang,USA,US,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Diaspora,USA
"Kachin, Zaiwa",United States,1200,Zaiwa,Ethnoreligion - Animism,32.57565,-97.36186,4,Unengaged,Little,Free,Moderate,High,Caution,A014,C0142,110204,Zaiwa,USA,US,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Diaspora,USA
Kachok,Cambodia,3800,Kachok,Ethnoreligion - Animism,13.82736,107.25745,5,Engaged,Strenuous,Not Free,Moderate,Moderate,Level 1: Exercise Normal Precautions,A011,C0147,113972,Kaco,KHM,CB,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Indigenous,KHM
Kaci,India,48500,Telugu,Hinduism,18.10465,78.952597,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,117078,Kachi,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Kacipo,South Sudan,5900,"Suri, Kacipo-Bale",Ethnoreligion - Animism,6.21223,34.76874,1,Engaged,Extreme,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0153,104374,Kacipo-Balesi,SSD,OD,,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"<10,000",Indigenous,SSD
Kacipo-Balesi,Ethiopia,4700,"Suri, Kacipo-Bale",Ethnoreligion - Animism,6.289919,35.013551,1,Engaged,Extreme,Not Free,Moderate,Moderate,Level 3: Reconsider Travel,A013,C0153,104374,Kacipo-Balesi,ETH,ET,OD,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"<10,000",Diaspora,ETH
Kadai,Indonesia,700,Kadai,Ethnoreligion - Animism,-1.74547,125.14217,5,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0131,104375,Kadai,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,IDN
Kadaiyan,India,18500,Tamil,Hinduism,9.366043,78.839391,4,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0289,112373,Kadaiyan,IND,IN,,,,South Asian Peoples,,2,No Longer Unreached,"10,000+",Indigenous,IND
Kadar,India,85000,Angika,Hinduism - Folk,25.24003,86.984512,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,112377,Kadar,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"50,000+",Indigenous,IND
Kadaru,Sudan,43500,Kadaru,Islam - Sunni,12.15545,30.2709,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0156,104380,Kadaru,SDN,SU,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,SDN
Kadavu,Fiji,14000,Fijian,Christianity - Non-Evangelical Protestant,-19.0202,178.3298,6,Engaged,Medium,Partly Free,Moderate,Low,Level 1: Exercise Normal Precautions,A010,C0069,104381,"Kadavu, Tavuki",FJI,FJ,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"10,000+",Indigenous,FJI
Kadia,India,608000,Gujarati,Hinduism,21.2142,72.8172,1,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0343,112376,"Kadia, Hindu",IND,IN,,,,South Asian Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,IND
Kadiro,South Sudan,7800,Moru,Ethnoreligion - Animism,5.112692,30.536651,1,Unengaged,Extreme,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0203,115823,Kadiro,SSD,OD,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,SSD
Kadiweu,Brazil,1900,Kadiwéu,Ethnoreligion - Animism,-20.433333,-56.983333,6,Engaged,Medium,Free,Low,Moderate,Level 2: Exercise Increased Caution,A007,C0201,104385,Kadiweu,BRA,BR,,,,American Peoples,,2,No Longer Unreached,"<10,000",Indigenous,BRA
Kado,Chad,97500,Herdé,Christianity - Evangelical Protestant,9.3601,14.9074,4,Engaged,Extreme,Not Free,High,Moderate,Level 3: Reconsider Travel,A013,C0062,114879,Kado (Herde),TCD,CD,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"50,000+",Indigenous,TCD
Kado,Myanmar,30000,Kadu,Buddhism - Theravada,24.257681,95.533627,1,Engaged,Strenuous,Not Free,Very High,High,Level 4: Do Not Travel,A014,C0089,114129,Kado,MMR,BM,,,,Asian Pacific Rim Peoples,,1,Engaged yet Unreached,"10,000+",Indigenous,MMR
Kadung,Nigeria,20000,Kadung,Ethnoreligion - Animism,9.3126,9.179,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,105525,Kadung,NGA,NI,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,NGA
Kaeti,Papua New Guinea,1100,Mandobo Bawah,Christianity - Non-Evangelical Protestant,-6.8512,140.9369,4,Engaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,115297,Mandobo Atas,PNG,PP,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Indigenous,PNG
Kafa,Ethiopia,1335000,Kafa,Christianity - Eastern Orthodox,7.34022,36.17183,1,Engaged,Extreme,Not Free,Moderate,Moderate,Level 3: Reconsider Travel,A004,C0161,104390,Kafa,ETH,ET,,,,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,"1,000,000+",Indigenous,ETH
Kafoa,Indonesia,1800,Kafoa,Christianity - Evangelical Protestant,-8.371,124.423,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0075,104393,Kafoa,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,IDN
Kagayanen,Philippines,37500,Kagayanen,Christianity - Roman Catholicism,10.547676,119.85066,4,Engaged,Medium,Partly Free,Low,High,Level 2: Exercise Increased Caution,A008,C0072,104395,Kagayanen,PHL,RP,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"10,000+",Indigenous,PHL
Kaghzi,India,73500,Urdu,Islam - Sunni,21.013321,75.563972,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,112413,Kaghzi / Kanai,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"50,000+",Indigenous,IND
Kagoma,Nigeria,48000,Gyong,Christianity - Evangelical Protestant,9.22607,8.18694,6,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,104399,Kagoma,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,NGA
Kagoro,Mali,50500,Kagoro,Ethnoreligion - Animism,14.05464,-9.96404,1,Engaged,Extreme,Not Free,Low,Moderate,Level 4: Do Not Travel,A013,C0126,114961,Kagoro,MLI,ML,,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"50,000+",Indigenous,MLI
Kagoro,Nigeria,36000,Tyap,Christianity - Neo-Pentecostalism,9.614816,8.392649,6,Engaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0126,104400,Kagoro,NGA,NI,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"10,000+",Indigenous,NGA
Kaguru,Tanzania,516000,Kagulu,Ethnoreligion,-6.38204,37.05341,1,Engaged,Strenuous,Partly Free,Moderate,Moderate,Level 2: Exercise Increased Caution,A013,C0265,104401,Kaguru,TZA,TZ,,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,TZA
Kahaian,Indonesia,81500,Ngaju,Ethnoreligion - Animism,-1.59815,113.72967,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0037,104404,Kahaian,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"50,000+",Indigenous,IDN
Kahar,Nepal,57000,Nepali,Hinduism,27.50081,83.30889,1,Engaged,Strenuous,Partly Free,Moderate,High,Level 2: Exercise Increased Caution,A012,C0301,112380,Kahar,NPL,NP,IN,,,South Asian Peoples,,1,Engaged yet Unreached,"50,000+",Indigenous,NPL
Kahar (Bengali),India,478000,Bengali,Hinduism,22.595769,88.263639,1,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0301,116473,"Kahar, Bengali",IND,IN,,,,South Asian Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,IND
Kahar (Bhojpuri),India,5300000,Bhojpuri,Hinduism,25.631037,85.029686,2,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0301,116474,"Kahar, Bhojpuri",IND,IN,,,,South Asian Peoples,,1,Engaged yet Unreached,"1,000,000+",Indigenous,IND
Kahar (Gujarati),India,8700,Gujarati,Hinduism,22.452799,72.787597,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0301,116475,"Kahar, Gujarati",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Kahar (Hindi),India,381000,Hindi,Hinduism,29.472682,77.708509,1,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0301,112380,Kahar,IND,IN,,,,South Asian Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,IND
